Subject	Upload Time	Criterion	Value
9cb5c2827b089c3e434c992a1690958e	1482684973	Native Speaker	yes
e3a2ca6bcc50a32011908bcb5320804c	1482795357	Native Speaker	yes
fd6ac92b901fe6e3ed0db48a3daf6547	1482795537	Native Speaker	yes
43fbbbe257910a3f7a6a0d11512f9ee6	1482789760	Native Speaker	yes
edb6254d33a23b00e8ab962fba3f8176	1482772334	Native Speaker	yes
4d374132adecad153bee8a16d2e3b71d	1482772252	Native Speaker	yes
6c2ef1cc873cbae001e2affee5a8119a	1482805499	Native Speaker	yes
1ea4162f0ef79b915c89c0ad29d575c0	1482808083	Native Speaker	yes
87332f0a46ece744f264c0c89047fac8	1482782167	Native Speaker	yes
4016968462263d22fc3e6d9522f631a9	1482794853	Native Speaker	yes
2d1d16d2572bd59805fdd52c8e61a418	1482789502	Native Speaker	yes
01066bdbf5bc9fa4b261ca349998b833	1482718679	Native Speaker	yes
0e482d2e6e414762c0015fea1153e171	1482781664	Native Speaker	yes
441a6b198724243df367866e5da8224e	1482807357	Native Speaker	yes
6727e6012453a7815455e1735530dfe2	1482648821	Native Speaker	yes
715a5e1dc62c4600190926df5b8cced0	1482802243	Native Speaker	yes
ca72808668dd931031d6f30af5bbf74d	1482796842	Native Speaker	yes
51538339f475eb0d2c91e2a262900b05	1482763761	Native Speaker	yes
db78dfc6f5c46cbc8ec9788fd47e4d0b	1482739165	Native Speaker	yes
8e5baf88c4930da3df10f19a32627469	1482809623	Native Speaker	yes
924cb363ff0e02ffb42b6712fa3ef4a6	1482635885	Native Speaker	yes
988261dbab4e1f3caeed21c94b11e406	1482726068	Native Speaker	yes
2f65c3e179bb791beaac0e9c7ec83cea	1482792929	Native Speaker	yes
7d16a555b07360f5f244cb7bb154c8c3	1482798116	Native Speaker	yes
24f77771b3783474767953c8a5ba0c1e	1482804592	Native Speaker	yes
be148483bc993bded59097c629e15ef0	1482781239	Native Speaker	yes
32cd7852d2a5b56512ff3f2df36a5823	1482794694	Native Speaker	yes
6c2ec6d63fc18b141a15770b2e251d94	1482801767	Native Speaker	yes
b3e0b0e2c41edc9334ca67632f3674b3	1482784053	Native Speaker	yes
9957fc8fd36af198289b56b12ecc106f	1482809450	Native Speaker	yes
99310f42ada021da9b3f14df487ac041	1482794551	Native Speaker	yes
fab572996c8cae4f3be60f0eed520141	1482794267	Native Speaker	yes
427597b29965e6d6dc50125a4e8791c1	1482779180	Native Speaker	yes
4f892effa6e47852fb7551000f03e085	1482789527	Native Speaker	yes
ce6009d88a76cb4ad52052dca888a218	1482719897	Native Speaker	yes
55a57177bccc92eb9395ba9711de729d	1482803604	Native Speaker	yes
06976213e52d5cfb66a57a5756cf0440	1482799631	Native Speaker	yes
d9b2d7a12f600ce0b2df50439634f55b	1482694041	Native Speaker	yes
5083f0c6add8e79c310929bd9f015cbe	1482790310	Native Speaker	yes
a5f5b3ab30c29a2ad8949a48d8f48558	1482796566	Native Speaker	yes
7122d05c59c78e80dcdfa594c1f61ac5	1482812125	Native Speaker	yes
25d7b17471a81d6b3e950b5e111319ca	1482794351	Native Speaker	yes
fd25ccc8a68a44b690252f2eabbccfc6	1482730737	Native Speaker	yes
1fe4945297fb24c32d1422b215819759	1482760752	Native Speaker	yes
ba15f79de028588876ffbe7040396dca	1482647806	Native Speaker	yes
ed9d2cb5d4417a39c5c4e9badc59b832	1482627029	Native Speaker	yes
ae80cde9ababb4372d3e2c8767981307	1482805798	Native Speaker	no
a4d8ca502b05a8fb26e9b6561dafe78b	1482791508	Native Speaker	yes
a09e9bdf8c6bbdc1330e86b7ef704460	1482671724	Native Speaker	yes
ab618d2f024baf625dfbc71b1d1a8436	1482806156	Native Speaker	yes
a6826f0051693e8f5ca130a8ca04b61e	1482677346	Native Speaker	no
51b84a05b661f5e8ee64cc07fe4db5cc	1482792985	Native Speaker	yes
88f56f1f8c7fc1e4455f50f61d597140	1482789691	Native Speaker	yes
7b2b388a7ff493dc40071540a2695b9b	1482789606	Native Speaker	yes
32abe6083f8e4155860ac869e0002b68	1482789535	Native Speaker	yes
6a43f72e0f1430baffadf777bdb0c767	1482789628	Native Speaker	yes
d5ecf8392b2f5cfa94340a7e7dcf053d	1482732676	Native Speaker	yes
5d7d7be0e69816b39d3dcfbd61302823	1482775386	Native Speaker	yes
773f6f767c2286a6de563c509fcfc964	1482800634	Native Speaker	yes
6192491762d34af9080625797c3d3046	1482810308	Native Speaker	yes
3511968dc93506f36d9e7db5f3652236	1482782833	Native Speaker	yes
3dd323d0df58e2e66a77b7b5f499b685	1482790040	Native Speaker	yes
e37c0a7e02700f31f6f05b91d4390058	1482802067	Native Speaker	yes
7e03089ca57e61df72d922107c3cf0bf	1482789770	Native Speaker	yes
4cfb6d5ab07c681aad780e313c3cb014	1482795448	Native Speaker	yes
1158c9d9e51f675b29e7252bf385c7d5	1482807888	Native Speaker	yes
5ef009c9f4fe15df3307a5e0b1a6ddb1	1482794136	Native Speaker	yes
a3ec10cf4d5ce45ef1ede105e2070cee	1482692680	Native Speaker	yes
1bbef4d6ccc386afa30a81553c2a8736	1482786331	Native Speaker	yes
bbe8b3096ccebd745b14a8deb09b443a	1482630962	Native Speaker	yes
767f088c7c5bba50c887611d47e76fbb	1482801390	Native Speaker	yes
4b66c768938aa7a613bc6e328ac40a2f	1482808482	Native Speaker	yes
31df98967518f958656e971fabe27067	1482692284	Native Speaker	yes
4a79b6b82ebedfc16cee85b43c6c91d1	1482795149	Native Speaker	yes
