Subject	Item	Particle	Type	Stimulus	Event	Time	Playback Action	Playback Location	Question	Answer	Scenario
dda56d06a11f9ed5c587c16573916f21	85	oh_decl	exclam	Oh you can't be serious right now	Scenario						no he just asked a question. There was no answer given
dda56d06a11f9ed5c587c16573916f21	85	oh_decl	exclam	Oh you can't be serious right now	Playback	10754	play	0.000523			
dda56d06a11f9ed5c587c16573916f21	85	oh_decl	exclam	Oh you can't be serious right now	Playback	12857	pause	2.040952			
dda56d06a11f9ed5c587c16573916f21	85	oh_decl	exclam	Oh you can't be serious right now	Rating	14730			How natural does the speaker's tone of voice sound?	3	
dda56d06a11f9ed5c587c16573916f21	85	oh_decl	exclam	Oh you can't be serious right now	Rating	17865			What is the emotion being conveyed here?	Confusion -- trying to make sense of what is going on	
dda56d06a11f9ed5c587c16573916f21	85	oh_decl	exclam	Oh you can't be serious right now	Rating	19369			What is the intensity of the speaker's emotion? How expressive do they sound?	3	
dda56d06a11f9ed5c587c16573916f21	13	god_conf	exclam	God he really likes it	Scenario						no he just said somebody really likes it. Almost confused%2C maybe surprised. not too sure
dda56d06a11f9ed5c587c16573916f21	13	god_conf	exclam	God he really likes it	Playback	5660	play	0.0			
dda56d06a11f9ed5c587c16573916f21	13	god_conf	exclam	God he really likes it	Playback	7630	pause	1.88356			
dda56d06a11f9ed5c587c16573916f21	13	god_conf	exclam	God he really likes it	Rating	12061			How natural does the speaker's tone of voice sound?	2	
dda56d06a11f9ed5c587c16573916f21	13	god_conf	exclam	God he really likes it	Rating	20011			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
dda56d06a11f9ed5c587c16573916f21	13	god_conf	exclam	God he really likes it	Rating	25763			What is the intensity of the speaker's emotion? How expressive do they sound?	2	
1a2ba51912f2e23904d7f7a2d1a2d28b	85	oh_decl	exclam	Oh you can't be serious right now	Scenario						yes. he stated "you can't be serious" which indicates something unusual was said or done
1a2ba51912f2e23904d7f7a2d1a2d28b	85	oh_decl	exclam	Oh you can't be serious right now	Playback	4448	play	0.0			
1a2ba51912f2e23904d7f7a2d1a2d28b	85	oh_decl	exclam	Oh you can't be serious right now	Playback	6563	pause	2.040952			
1a2ba51912f2e23904d7f7a2d1a2d28b	85	oh_decl	exclam	Oh you can't be serious right now	Rating	9454			How natural does the speaker's tone of voice sound?	3	
1a2ba51912f2e23904d7f7a2d1a2d28b	85	oh_decl	exclam	Oh you can't be serious right now	Rating	14072			What is the emotion being conveyed here?	Surprise -- something unexpected happened	
